

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        1590        1590     284.824         290      74.078
        1596        1596     285.805         291     70.5699
        1602        1602     286.789         292      66.704
        1608        1608     287.692         293     62.5337
        1614        1614     288.604         294     58.0967
        1620        1620     289.501         295     53.4591
        1626        1626     290.386         296     48.6343
        1632        1632     291.254         297     43.6984
        1638        1638     292.108         298     38.6763
        1644        1644     293.039         299     33.6386
        1650        1650     293.995         300     28.6572
        1656        1656     295.137         301     23.8539
        1662        1662     296.257         302     19.3427
        1668        1668     297.375         303     15.3354
        1674        1674     298.471         304     11.9109
        1680        1680     299.546         305     9.25163
        1686        1686     300.627         306     7.44705
        1692        1692     301.691         307     6.43053
        1698        1698     302.735         308     5.95065
        1704        1704     303.774         309     5.70973
        1710        1710     304.811         310     5.59631
        1716        1716      305.84         311     5.53452
        1722        1722     306.855         312     5.49629
        1728        1728      307.88         313     5.47441
        1734        1734     308.898         314     5.45889
        1740        1740     309.916         315     5.44155
        1746        1746     310.929         316     5.43148
        1752        1752     311.939         317     5.41813
        1758        1758     312.953         318      5.4119
        1764        1764     313.955         319     5.39875
        1770        1770     314.973         320     5.39187
        1776        1776     315.985         321     5.38483
        1782        1782     316.989         322     5.38096
        1788        1788     317.997         323     5.37439
        1794        1794     319.003         324     5.36701
        1800        1800     320.025         325      5.3608
        1806        1806      321.02         326     5.35435
        1812        1812      322.03         327     5.35025
        1818        1818     323.032         328     5.34432
        1824        1824     324.038         329     5.33483
        1830        1830     325.051         330     5.32669
        1836        1836     326.053         331     5.31763
        1842        1842     327.064         332     5.31314
        1848        1848     328.071         333     5.30653
        1854        1854     329.065         334     5.29984
        1860        1860     330.073         335     5.29461
        1866        1866     331.082         336     5.28649
        1872        1872     332.082         337     5.27996
        1878        1878     333.092         338      5.2741
        1884        1884     334.098         339     5.26844
        1890        1890       335.1         340     5.26159
        1896        1896     336.105         341     5.25292
        1902        1902     337.111         342     5.24488
        1908        1908     338.113         343     5.23868
        1914        1914      339.12         344     5.23012
        1920        1920     340.128         345     5.22226
        1926        1926     341.132         346     5.21533
        1932        1932     342.128         347     5.20554
        1938        1938     343.135         348     5.19858
        1944        1944     344.139         349     5.18736
        1950        1950     345.143         350     5.18078
        1956        1956     346.157         351     5.17045
        1962        1962     347.163         352     5.15891
        1968        1968     348.163         353     5.15334
        1974        1974      349.17         354     5.14525
        1980        1980     350.172         355     5.13499
        1986        1986     351.193         356     5.12208
        1992        1992     352.198         357     5.11536
        1998        1998     353.195         358     5.10319
        2004        2004     354.203         359     5.09646
        2010        2010     355.208         360     5.08618
        2016        2016     356.215         361      5.0741
        2022        2022     357.208         362      5.0642
        2028        2028     358.228         363     5.05394
        2034        2034     359.229         364     5.04321
        2040        2040      360.24         365     5.03308
        2046        2046     361.246         366     5.02206
        2052        2052     362.255         367     5.01044
        2058        2058     363.242         368     5.00205
        2064        2064     364.257         369     4.99124
        2070        2070     365.263         370     4.98053
        2076        2076     366.269         371     4.97105
        2082        2082     367.279         372     4.96252
        2088        2088     368.291         373     4.95066
        2094        2094     369.276         374     4.94202
        2100        2100     370.287         375     4.93064
        2106        2106     371.296         376     4.92085
        2112        2112     372.297         377     4.91695
        2118        2118     373.299         378     4.90802
        2124        2124     374.303         379     4.89708
        2130        2130     375.305         380     4.88917
        2136        2136     376.316         381     4.88598
        2142        2142     377.316         382     4.87581
        2148        2148     378.315         383     4.87078
        2154        2154     379.317         384     4.86723
        2160        2160     380.325         385     4.86156
        2166        2166      381.34         386     4.85382
        2172        2172      382.33         387     4.84496
        2178        2178     383.336         388     4.83434
        2184        2184     384.341         389     4.83485
        2190        2190     385.341         390     4.82949
        2196        2196     386.337         391     4.82777
        2202        2202     387.344         392     4.82066
        2208        2208     388.347         393      4.8139
        2214        2214     389.346         394     4.81242
        2220        2220     390.355         395     4.80528
        2226        2226     391.354         396     4.80394
        2232        2232     392.352         397     4.80368
        2238        2238     393.356         398     4.79494
        2244        2244     394.355         399     4.78565
        2250        2250     395.356         400     4.78501
        2256        2256     396.365         401     4.78179
        2262        2262     397.367         402     4.78132
        2268        2268     398.364         403     4.77863
        2274        2274     399.368         404     4.77252
        2280        2280     400.371         405     4.76643
        2286        2286     401.371         406       4.766
        2292        2292     402.372         407     4.76036
        2298        2298     403.368         408      4.7567
        2304        2304     404.368         409     4.75427
        2310        2310     405.384         410     4.74805
        2316        2316     406.379         411     4.74697
        2322        2322     407.395         412     4.74027
        2328        2328     408.399         413     4.73767
        2334        2334     409.405         414     4.73748
        2340        2340     410.402         415     4.73077
        2346        2346     411.408         416     4.72258
        2352        2352     412.417         417     4.71873
        2358        2358      413.41         418     4.71239
        2364        2364     414.419         419     4.70924
        2370        2370     415.421         420     4.70689
        2376        2376     416.435         421     4.70079
        2382        2382     417.434         422     4.69274
        2388        2388     418.434         423     4.69013
        2394        2394     419.439         424     4.68331
        2400        2400     420.449         425     4.67511
        2406        2406     421.449         426     4.67126
        2412        2412     422.454         427     4.66628
        2418        2418     423.455         428     4.66093
        2424        2424     424.445         429     4.65379
        2430        2430     425.453         430     4.64824
        2436        2436     426.444         431      4.6456
        2442        2442     427.459         432     4.63961
