

Curve Name:
  !PHBH_powder
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     32,2597          25         100
        1824        1824     323,781         329     2,61685
        1830        1830     324,866         330     2,60851
        1836        1836     325,925         331     2,60031
        1842        1842     326,992         332     2,59233
        1848        1848     328,042         333      2,5838
        1854        1854     329,085         334     2,57612
        1860        1860     330,126         335     2,56783
        1866        1866     331,171         336     2,55939
        1872        1872     332,209         337     2,55147
        1878        1878     333,239         338     2,54373
        1884        1884     334,268         339     2,53555
        1890        1890     335,301         340     2,52664
        1896        1896     336,323         341     2,51814
        1902        1902     337,354         342      2,5091
        1908        1908     338,368         343     2,50022
        1914        1914     339,384         344     2,49088
        1920        1920     340,403         345     2,48207
        1926        1926     341,416         346     2,47239
        1932        1932     342,425         347     2,46321
        1938        1938     343,431         348       2,453
        1944        1944     344,443         349     2,44294
        1950        1950     345,457         350     2,43282
        1956        1956     346,468         351     2,42219
        1962        1962     347,483         352     2,41122
        1968        1968     348,489         353     2,40072
        1974        1974     349,497         354     2,38934
        1980        1980     350,508         355     2,37907
        1986        1986     351,525         356     2,36704
        1992        1992     352,527         357     2,35417
        1998        1998     353,537         358     2,34229
        2004        2004     354,546         359     2,32963
        2010        2010     355,552         360     2,31755
        2016        2016     356,568         361     2,30546
        2022        2022     357,579         362      2,2918
        2028        2028     358,578         363     2,27918
        2034        2034     359,586         364     2,26564
        2040        2040     360,595         365     2,25293
        2046        2046     361,614         366     2,24081
        2052        2052     362,608         367     2,22707
        2058        2058     363,617         368     2,21416
        2064        2064     364,636         369     2,20128
        2070        2070     365,636         370     2,18911
        2076        2076     366,634         371     2,17675
        2082        2082     367,644         372     2,16523
        2088        2088     368,638         373     2,15385
        2094        2094     369,646         374     2,14293
        2100        2100      370,65         375      2,1318
        2106        2106     371,653         376      2,1224
        2112        2112      372,65         377     2,11286
        2118        2118     373,649         378     2,10419
        2124        2124     374,655         379     2,09521
        2130        2130     375,648         380     2,08615
        2136        2136     376,655         381     2,07774
        2142        2142     377,642         382        2,07
        2148        2148     378,646         383      2,0633
        2154        2154     379,638         384     2,05652
        2160        2160     380,638         385     2,04994
        2166        2166     381,639         386     2,04377
        2172        2172     382,628         387     2,03734
        2178        2178     383,625         388     2,03274
        2184        2184     384,606         389     2,02672
        2190        2190     385,618         390     2,02077
        2196        2196      386,61         391     2,01637
        2202        2202     387,613         392     2,01207
        2208        2208      388,61         393     2,00681
        2214        2214     389,605         394     2,00179
        2220        2220     390,609         395     1,99723
        2226        2226     391,603         396     1,99257
        2232        2232     392,609         397     1,98808
        2238        2238       393,6         398     1,98373
        2244        2244     394,603         399     1,97891
        2250        2250     395,603         400     1,97478
        2256        2256     396,603         401     1,97029
        2262        2262     397,602         402     1,96641
        2268        2268     398,617         403      1,9615
        2274        2274     399,618         404     1,95715
        2280        2280     400,611         405     1,95275
        2286        2286     401,616         406     1,94834
        2292        2292      402,62         407     1,94413
        2298        2298     403,623         408      1,9388
        2304        2304     404,616         409     1,93372
        2310        2310     405,633         410     1,92949
        2316        2316     406,632         411     1,92484
        2322        2322     407,633         412     1,91942
        2328        2328     408,639         413     1,91407
        2334        2334     409,641         414     1,90886
        2340        2340     410,646         415     1,90395
        2346        2346     411,654         416     1,89867
        2352        2352      412,66         417     1,89345
        2358        2358     413,666         418     1,88839
        2364        2364     414,673         419     1,88179
        2370        2370     415,686         420     1,87659
