                                                                21.09.2022 12:03
________________________________________________________________________________



Curve Name:
  !$PHBH AG 10
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
            236       -50,0007     -0,0161193
            237       -50,0007     -0,0165007
            238       -50,0007     -0,0174444
            239       -50,0008     -0,0185952
            240       -50,0008     -0,0192947
            241       -50,0008     -0,0194801
            242       -50,0008     -0,0195137
            243       -50,0008     -0,0191123
            244       -50,0008     -0,0182305
            245       -50,0007     -0,0173763
            246       -50,0007     -0,0163031
            247       -50,0006     -0,0153457
            248       -50,0006     -0,0148177
            249       -50,0006     -0,0150552
            250       -50,0006     -0,0149934
            251       -50,0007     -0,0161266
            252       -50,0007     -0,0170997
            253       -50,0007     -0,0176773
            254       -50,0008     -0,0181606
            255       -50,0008     -0,0187308
            256       -50,0008     -0,0189577
            257       -50,0008      -0,019521
            258       -50,0008     -0,0193839
            259       -50,0008     -0,0188219
            260       -50,0008     -0,0181472
            261       -50,0007     -0,0174072
            262       -50,0007     -0,0163036
            263       -50,0006     -0,0147814
            264       -50,0006     -0,0146967
            265       -50,0006     -0,0153195
            266       -50,0007     -0,0163409
            267       -50,0007     -0,0170191
            268       -50,0008     -0,0179165
            269       -50,0008      -0,018345
            270       -50,0008     -0,0188146
            271       -50,0008     -0,0192996
            272       -50,0008     -0,0198482
            273       -50,0008     -0,0196687
            274       -50,0008     -0,0193176
            275       -50,0008     -0,0184967
            276       -50,0007     -0,0170433
            277       -50,0007     -0,0164089
            278       -50,0007     -0,0157786
            279       -50,0006     -0,0147802
            280       -50,0006     -0,0153712
            281       -50,0007     -0,0156246
            282       -50,0007     -0,0164692
            283       -50,0007     -0,0174826
            284       -50,0008     -0,0181371
            285       -50,0008     -0,0189658
            286       -50,0008     -0,0194157
            287       -50,0008     -0,0199316
            288       -50,0009     -0,0205017
            289       -50,0008     -0,0197891
            290       -50,0008     -0,0183757
            291       -50,0007     -0,0174822
            292       -50,0007     -0,0163842
            293       -50,0007     -0,0155501
            294       -50,0007     -0,0154155
            295       -50,0007     -0,0156239
            296       -50,0007     -0,0161623
            297       -50,0007     -0,0168635
            298       -50,0007     -0,0173941
            299       -50,0008     -0,0178618
            300       -50,0008     -0,0185725
            301       -50,0008     -0,0192111
            302       -50,0008     -0,0196559
            303       -50,0008     -0,0200576
            304       -50,0008     -0,0193608
            305       -50,0008     -0,0185532
            306       -50,0007     -0,0174644
            307       -50,0007     -0,0174393
            308       -50,0007     -0,0159086
            309       -50,0006     -0,0151143
            310       -50,0006     -0,0153485
            311       -50,0007     -0,0159614
            312       -50,0007     -0,0161514
            313       -50,0007     -0,0166528
            314       -50,0007      -0,017707
            315       -50,0008     -0,0184525
            316       -50,0008     -0,0186635
            317       -50,0008     -0,0195608
            318       -50,0008      -0,020028
            319       -50,0009      -0,020268
            320       -50,0008     -0,0188428
            321       -50,0008     -0,0180642
            322       -50,0007     -0,0175951
            323       -50,0007     -0,0169322
            324       -50,0007     -0,0158413
            325       -50,0006      -0,015097
            326       -50,0006     -0,0153543
            327       -50,0007     -0,0160626
            328       -50,0007      -0,016552
            329       -50,0007     -0,0172944
            330       -50,0008     -0,0178986
            331       -50,0008      -0,018303
            332       -50,0008     -0,0188318
            333       -50,0008     -0,0193385
            334       -50,0008      -0,019539
            335       -50,0008     -0,0194026
            336       -50,0008     -0,0188037
            337       -50,0008     -0,0181386
            338       -50,0007     -0,0174128
            339       -50,0007     -0,0160421
            340       -50,0006     -0,0151723
            341       -50,0006     -0,0148028
            342       -50,0006     -0,0151222
            343       -50,0007     -0,0158142
            344       -50,0007     -0,0163827
            345       -50,0007     -0,0171322
            346       -50,0008     -0,0177417
            347       -50,0008     -0,0183268
            348       -50,0008     -0,0193381
            349       -50,0008      -0,019676
            350       -50,0008     -0,0192432
            351       -50,0008     -0,0188922
            352       -50,0008     -0,0184092
