                                                                21.09.2022 12:04
________________________________________________________________________________



Curve Name:
  !$PHBH pAG
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
              0            -50   -0,000972868
            480       -50,0014     -0,0479263
            481       -50,0014     -0,0479595
            482       -50,0014     -0,0480666
            483       -50,0014     -0,0474988
            484       -50,0014     -0,0474858
            485       -50,0014     -0,0479059
            486       -50,0014     -0,0488719
            487       -50,0014     -0,0489131
            488       -50,0014     -0,0486809
            489       -50,0014     -0,0481789
            490       -50,0014     -0,0483972
            491       -50,0014     -0,0483509
            492       -50,0014     -0,0475957
            493       -50,0014     -0,0478251
            494       -50,0014     -0,0486866
            495       -50,0014     -0,0489494
            496       -50,0014     -0,0486848
            497       -50,0014     -0,0482728
            498       -50,0014     -0,0478188
            499       -50,0014     -0,0482218
            500       -50,0014     -0,0479194
            501       -50,0014     -0,0478437
            502       -50,0014     -0,0473233
            503       -50,0014     -0,0482219
            504       -50,0014     -0,0482607
            505       -50,0014     -0,0477748
            506       -50,0014     -0,0474472
            507       -50,0014      -0,047757
            508       -50,0014     -0,0473546
            509       -50,0014     -0,0472383
            510       -50,0014     -0,0475715
            511       -50,0014     -0,0479484
            512       -50,0014     -0,0480633
            513       -50,0014     -0,0478803
            514       -50,0014     -0,0471994
            515       -50,0014     -0,0474786
            516       -50,0014     -0,0478426
            517       -50,0014     -0,0478254
            518       -50,0014     -0,0479439
            519       -50,0014     -0,0475563
            520       -50,0014     -0,0477691
            521       -50,0014     -0,0482973
            522       -50,0014     -0,0484184
            523       -50,0014      -0,048078
            524       -50,0014     -0,0475695
            525       -50,0014     -0,0474989
            526       -50,0014     -0,0475716
            527       -50,0014     -0,0477884
            528       -50,0014     -0,0471922
            529       -50,0014      -0,047291
            530       -50,0014     -0,0478194
            531       -50,0014     -0,0478184
            532       -50,0014     -0,0478997
            533       -50,0014     -0,0479685
            534       -50,0014     -0,0478257
            535       -50,0014     -0,0476542
            536       -50,0014     -0,0476079
            537       -50,0014     -0,0477514
            538       -50,0014     -0,0476943
            539       -50,0014     -0,0472619
            540       -50,0014     -0,0479846
            541       -50,0014     -0,0479588
            542       -50,0014      -0,047911
            543       -50,0014     -0,0481704
            544       -50,0014     -0,0481085
            545       -50,0014     -0,0475457
            546       -50,0014     -0,0476474
            547       -50,0014     -0,0479427
            548       -50,0014     -0,0475556
            549       -50,0014     -0,0476344
            550       -50,0014     -0,0476645
            551       -50,0014     -0,0475919
            552       -50,0014     -0,0475763
            553       -50,0014     -0,0479905
            554       -50,0014     -0,0481869
            555       -50,0014     -0,0477565
            556       -50,0014     -0,0473694
            557       -50,0014     -0,0475518
            558       -50,0014     -0,0475665
            559       -50,0014     -0,0478188
            560       -50,0014     -0,0476485
            561       -50,0014     -0,0477762
            562       -50,0014     -0,0474518
            563       -50,0014     -0,0471371
            564       -50,0014      -0,047292
            565       -50,0014     -0,0477181
            566       -50,0014     -0,0478094
            567       -50,0014     -0,0478814
            568       -50,0014     -0,0475711
            569       -50,0014     -0,0474624
            570       -50,0014      -0,047265
            571       -50,0013     -0,0465806
            572       -50,0014     -0,0468125
            573       -50,0014     -0,0469064
            574       -50,0014     -0,0468213
            575       -50,0013     -0,0466414
            576       -50,0014     -0,0476476
            577       -50,0014      -0,047884
            578       -50,0014     -0,0480208
            579       -50,0014     -0,0481905
            580       -50,0014     -0,0479269
            581       -50,0014     -0,0478142
            582       -50,0014     -0,0480491
            583       -50,0014     -0,0487468
            584       -50,0014     -0,0487779
            585       -50,0014     -0,0488479
            586       -50,0014     -0,0478742
            587       -50,0013     -0,0463931
            588       -50,0014     -0,0468113
            589       -50,0013     -0,0467509
            590       -50,0014     -0,0470815
            591       -50,0014     -0,0475082
            592       -50,0014     -0,0478023
            593       -50,0014     -0,0478293
            594       -50,0014     -0,0478825
            595       -50,0014     -0,0474461
            596       -50,0014     -0,0475125
            597       -50,0014     -0,0486429
            598       -50,0016     -0,0557148
            599        -50,002     -0,0706187
            600       -50,0025     -0,0876802
            601       -49,9194     -0,0941499
            602        -49,836     -0,0932817
            603       -49,7527      -0,091437
            604       -49,6693     -0,0909293
            605       -49,5861     -0,0936664
