"Id"	"Magnification"	"^CE Diameter (µm)"	"Length (µm)"	"Width (µm)"	"Max. Distance (µm)"	"Perimeter (µm)"	"Major Axis (°)"	"Area (µm²)"	"SE Volume (µm³)"	"Area (Pixels)"	"Circularity"	"HS Circularity"	"Convexity"	"Solidity"	"Aspect Ratio"	"Elongation"	"Intensity Mean"	"Intensity SD"	"Centre X Position (µm)"	"Centre Y Position (µm)"	"Frame Row"	"Frame Column"	"Frame Index"	"Edge stitched particle"	"Scaling Factor"	"Fiber Total Length (µm)"	"Fiber Width (µm)"	"Fiber Elongation"	"Fiber Straightness"	"Scan Area Correction"
1589	10.00	43.51	44.78	43.52	45.36	139.22	58.09	1486.53	43114.50	46123	0.978	0.956	0.988	0.993	0.972	0.028	28.687	13.398	24862.893	45808.930	85	18	1729	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4342	10.00	43.50	44.56	43.20	44.71	137.62	20.37	1485.92	43087.87	46104	0.989	0.978	0.992	0.998	0.969	0.031	28.404	13.937	35723.379	39595.711	70	39	5131	0	1	-1.00	-1.00	-1.000	-1.000	1.000
3952	10.00	43.45	44.13	43.51	44.58	137.72	130.91	1482.98	42960.35	46013	0.987	0.975	0.993	0.998	0.986	0.014	27.220	14.548	33956.211	70099.000	146	36	4614	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5555	10.00	43.44	44.00	43.35	44.12	137.38	26.52	1482.18	42925.34	45988	0.989	0.979	0.994	0.998	0.985	0.015	28.918	13.916	41087.379	60177.500	122	49	6935	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4445	10.00	43.44	44.16	43.36	44.33	137.48	116.64	1482.11	42922.55	45986	0.989	0.978	0.993	0.997	0.982	0.018	27.818	14.320	36275.824	55079.203	108	40	5287	0	1	-1.00	-1.00	-1.000	-1.000	1.000
7540	10.00	43.43	44.44	43.35	44.69	137.50	100.07	1481.73	42905.75	45974	0.988	0.977	0.992	0.997	0.975	0.025	29.869	12.848	48119.281	56143.539	111	62	9518	0	1	-1.00	-1.00	-1.000	-1.000	1.000
6394	10.00	43.42	43.78	43.65	44.17	137.34	178.76	1480.66	42859.57	45941	0.989	0.979	0.994	0.998	0.997	0.003	30.253	13.296	43970.801	74383.945	157	54	7979	0	1	-1.00	-1.00	-1.000	-1.000	1.000
11087	10.00	43.40	43.94	43.57	43.97	137.37	68.88	1479.31	42800.80	45899	0.989	0.977	0.992	0.998	0.992	0.008	30.190	13.050	61577.566	26826.129	37	88	14690	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4460	10.00	43.40	50.03	39.18	50.27	142.46	43.11	1479.11	42792.41	45893	0.953	0.908	0.978	0.990	0.783	0.217	27.376	13.834	36486.633	67811.742	140	40	5319	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12679	10.00	43.36	44.07	43.19	44.11	137.27	165.65	1476.34	42672.18	45807	0.988	0.977	0.992	0.998	0.980	0.020	28.901	13.745	66691.406	29741.189	45	97	16597	0	1	-1.00	-1.00	-1.000	-1.000	1.000
