#EXPORTTYPE:DATA SINGLE
#FILE:PHBH.ngb-sdg
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:PHBH
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.09.2021 15:49
#CORR. FILE:
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:
#OPERATOR:Alberto
#REMARK:
#SAMPLE:PHBH
#SAMPLE MASS /mg:6.4
#MATERIAL:
#REFERENCE:vuoto
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /‘V:5000
#TAU-R:applied
#CORR. CODE:050
#EXO:+1
#RANGE:-30›C/10,0(K/min)/180›C
#SEGMENT:S5/5
#SEG. 5:-30›C/10,0(K/min)/180›C

##Temp./›C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
135.16247;59.02558;      -0.52430;3.42653
136.16247;59.12388;      -0.48495;3.42523
137.16247;59.22234;      -0.45403;3.42391
138.16247;59.32105;      -0.43270;3.42258
139.16247;59.42001;      -0.41941;3.42123
140.16247;59.51925;      -0.41047;3.41987
141.16247;59.61896;      -0.40521;3.41850
142.16247;59.71910;      -0.40169;3.41711
143.16247;59.81927;      -0.40159;3.41571
144.16247;59.91924;      -0.40137;3.41429
145.16247;60.01927;      -0.40156;3.41286
146.16247;60.11927;      -0.40239;3.41141
147.16247;60.21902;      -0.40261;3.40995
148.16247;60.31878;      -0.40221;3.40848
149.16247;60.41883;      -0.40174;3.40699
150.16247;60.51901;      -0.40173;3.40549
151.16247;60.61916;      -0.40205;3.40397
152.16247;60.71922;      -0.40263;3.40244
153.16247;60.81923;      -0.40317;3.40090
154.16247;60.91923;      -0.40340;3.39934
155.16247;61.01922;      -0.40413;3.39777
156.16247;61.11902;      -0.40470;3.39619
157.16247;61.21881;      -0.40411;3.39459
158.16247;61.31890;      -0.40359;3.39298
159.16247;61.41923;      -0.40363;3.39136
160.16247;61.51952;      -0.40404;3.38972
161.16247;61.61961;      -0.40480;3.38807
162.16247;61.71955;      -0.40562;3.38641
163.16247;61.81938;      -0.40590;3.38473
164.16247;61.91933;      -0.40561;3.38304
165.16247;62.01946;      -0.40569;3.38134
166.16247;62.11953;      -0.40592;3.37962
167.16247;62.21967;      -0.40582;3.37790
168.16247;62.31990;      -0.40630;3.37616
169.16247;62.42001;      -0.40745;3.37440
170.16247;62.51978;      -0.40872;3.37264
171.16247;62.61939;      -0.40920;3.37086
172.16247;62.71916;      -0.40872;3.36907
173.16247;62.81918;      -0.40839;3.36727
174.16247;62.91930;      -0.40869;3.36545
175.16247;63.01932;      -0.40874;3.36363
176.16247;63.11946;      -0.40866;3.36179
177.16247;63.21971;      -0.40905;3.35994
178.16247;63.31988;      -0.40958;3.35807
179.16247;63.42005;      -0.41038;3.35620

